date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,9.4,5.3,12,0,,,14.4,,1017.9,
2024-01-02 00:00:00,6.1,3.2,8.6,0.5,,,6.9,,1020.8,
2024-01-03 00:00:00,7.2,2.9,10.8,0.8,,,4.7,,1013.8,
2024-01-04 00:00:00,9.7,6.6,14.7,1.8,,,11.5,,1012.4,
2024-01-05 00:00:00,7.5,3.4,13.1,0,,,6.2,,1019.2,
2024-01-06 00:00:00,9.1,3.4,15.2,0,,,5.4,,1012.6,
2024-01-07 00:00:00,8.4,6,11.6,0.2,,,7.5,,1008.1,
2024-01-08 00:00:00,5.5,2.8,9.6,0,,,12.2,,1017.2,
2024-01-09 00:00:00,5.4,1.9,10.1,0,,,6.7,,1017.6,
2024-01-10 00:00:00,7.1,2.3,11.7,0,,,6.5,,1012.6,
2024-01-11 00:00:00,4.9,3,6.9,0,,,9.2,,1013.8,
2024-01-12 00:00:00,6.9,0.9,13.5,0,,,5.3,,1009.2,
2024-01-13 00:00:00,4.6,1.3,11.7,0,,,9.2,,1011.1,
2024-01-14 00:00:00,6.2,1.2,10.5,0,,,14.6,,1019.9,
2024-01-15 00:00:00,6.5,2.9,11.1,0,,,13.9,,1010.3,
2024-01-16 00:00:00,3.7,0.6,6.7,0,,,14.9,,1019.3,
2024-01-17 00:00:00,6.1,1.3,11.8,0,,,5.4,,1026,
2024-01-18 00:00:00,8.3,2.7,12.3,0,,,5.1,,1019.8,
2024-01-19 00:00:00,10.3,8,14.3,0,,,7.7,,1023.5,
2024-01-20 00:00:00,6.4,4.8,7.6,4.1,,,10.1,,1028.6,
2024-01-21 00:00:00,7.8,4.4,11.6,27.8,,,10.7,,1014.3,
2024-01-22 00:00:00,10.7,6.9,13.8,1,,,7.9,,1014.7,
2024-01-23 00:00:00,9.2,6,12.8,0.5,,,6.9,,1003.8,
2024-01-24 00:00:00,4.7,2.4,7,0.8,,,15.7,,1004.3,
2024-01-25 00:00:00,4.1,-0.9,8.8,0,,,13.2,,1010.2,
2024-01-26 00:00:00,6.2,2.4,11.3,0,,,16.6,,1013.9,
2024-01-27 00:00:00,7.2,3.6,11.8,0,,,13.1,,1018.4,
2024-01-28 00:00:00,6,3.1,9.3,0,,,5.7,,1020.8,
2024-01-29 00:00:00,6.8,3.1,11.3,0,,,6.7,,1027,
2024-01-30 00:00:00,7.6,4.2,12,0,,,5.9,,1028.9,
2024-01-31 00:00:00,9.2,3.5,13.3,0,,,7.5,,1024,
2024-02-01 00:00:00,10,5.2,15.9,1.3,,,11.8,,1014.1,
2024-02-02 00:00:00,5,3.7,6.2,0,,,9.4,,1022.4,
2024-02-03 00:00:00,6.8,3.8,11.1,0,,,8.7,,1025.4,
2024-02-04 00:00:00,4.9,2.6,6.7,0.7,,,6.1,,1024.1,
2024-02-05 00:00:00,3.2,0.4,6,23,,,9.9,,1019.6,
2024-02-06 00:00:00,3.2,0.9,5,3.4,,,8.3,,1016.1,
2024-02-07 00:00:00,4.7,0,9,0,,,5.5,,1016.2,
2024-02-08 00:00:00,5.6,1.9,10.3,0,,,7.3,,1016.2,
2024-02-09 00:00:00,6.9,3.3,10.6,0,,,7.5,,1018.1,
2024-02-10 00:00:00,7.1,2.1,11.6,0.1,,,7.7,,1016.1,
2024-02-11 00:00:00,8.1,4.7,11.6,1.2,,,9.7,,1016.9,
2024-02-12 00:00:00,7.1,3.9,12.7,0,,,8.4,,1023.8,
2024-02-13 00:00:00,9.5,2.1,16.3,0,,,8.8,,1027.4,
2024-02-14 00:00:00,10.8,4.8,17.5,0,,,4.6,,1023.8,
2024-02-15 00:00:00,14.1,6.9,20.6,1.1,,,13.2,,1015.8,
2024-02-16 00:00:00,11.2,7,17,0.1,,,15.7,,1014.6,
2024-02-17 00:00:00,8.9,4.7,12.8,0,,,8.2,,1025,
2024-02-18 00:00:00,13.3,9.6,18,0,,,8.1,,1028.5,
2024-02-19 00:00:00,14.9,13.2,16.3,4.8,,,15.7,,1022.8,
2024-02-20 00:00:00,18.2,14.5,22.6,1.7,,,13.2,,1015.9,
2024-02-21 00:00:00,8.9,7.7,13,4,,,9.9,,1020.1,
2024-02-22 00:00:00,5.7,4,7.9,7.1,,,10.3,,1019.5,
2024-02-23 00:00:00,2.8,1.8,3.7,1.8,,,9.6,,1022.6,
2024-02-24 00:00:00,5.2,1.6,9.4,0,,,7.9,,1026.3,
2024-02-25 00:00:00,4.4,3.6,4.9,7.3,,,10.1,,1021.5,
2024-02-26 00:00:00,7.8,4.8,12.7,0.8,,,19.8,,1013.2,
2024-02-27 00:00:00,7,4.5,10.9,0,,,27.3,,1015.9,
2024-02-28 00:00:00,8.3,4.3,13.6,0,,,14.3,,1023.5,
2024-02-29 00:00:00,7.5,3.9,11.8,3,,,7.2,,1023.8,
2024-03-01 00:00:00,9.7,3.8,16,14.1,,,11.4,,1004,
2024-03-02 00:00:00,6.6,4.1,10.1,0,,,13,,1010.3,
2024-03-03 00:00:00,7.4,1.5,12.5,0,,,9.7,,1014.3,
2024-03-04 00:00:00,9.4,3.6,15.3,0,,,6.6,,1017.1,
2024-03-05 00:00:00,6.6,3.1,8.5,12.3,,,6.8,,1020.2,
2024-03-06 00:00:00,5.4,2,9.7,11.3,,,12.3,,1008.2,
2024-03-07 00:00:00,7,5,10.1,0,,,9.2,,1013.7,
2024-03-08 00:00:00,4.5,0.5,8.9,10.3,,,6.4,,1007.7,
2024-03-09 00:00:00,6.1,2.7,10.1,0,,,12.6,,1010,
