date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01 00:00:00,7.2,0.4,13,0,,,9.5,,1012.6,
2018-01-02 00:00:00,5.9,0.8,10.8,0,,,11.8,,1014.4,
2018-01-03 00:00:00,4.3,2.9,8.6,0,,,18.7,,1013,
2018-01-04 00:00:00,4.9,0,9.6,0,,,10.1,,1018,
2018-01-05 00:00:00,2.9,1.7,6.3,0,,,6.7,,1015.6,
2018-01-06 00:00:00,5.7,-1.4,10.5,0,,,7.2,,1011.3,
2018-01-07 00:00:00,6.5,1.2,11.6,0,,,9.5,,1019.4,
2018-01-08 00:00:00,5.8,3.2,9.5,0,,,7.1,,1015.7,
2018-01-09 00:00:00,8.4,3.6,16,9.4,,,9.7,,996.2,
2018-01-10 00:00:00,7.1,3.8,11.1,0,,,16.9,,1006.8,
2018-01-11 00:00:00,4.1,1.8,10.2,0,,,9.2,,1011.6,
2018-01-12 00:00:00,2.6,-1.6,7,0,,,7.3,,1019.2,
2018-01-13 00:00:00,3.4,-0.8,7.3,0,,,7.8,,1022.3,
2018-01-14 00:00:00,3.6,1,8.4,0,,,11.5,,1028.1,
2018-01-15 00:00:00,4.9,-1.1,12.4,0,,,7.2,,1023.8,
2018-01-16 00:00:00,8.2,1.4,13.7,0,,,5.4,,1019.6,
2018-01-17 00:00:00,6.5,4.4,9.1,0,,,7.5,,1013.3,
2018-01-18 00:00:00,9.1,3,13.7,15,,,7.3,,1012.6,
2018-01-19 00:00:00,7.9,6.6,11.2,0,,,9.6,,1018.4,
2018-01-20 00:00:00,5.8,4.8,10.1,0,,,5.6,,1017.6,
2018-01-21 00:00:00,6.9,2.3,12,0,,,7.9,,1016.3,
2018-01-22 00:00:00,1.9,-0.5,5,,,,11.1,,1016.7,
2018-01-23 00:00:00,5,-0.7,10,23.9,20,,,,,
2018-01-24 00:00:00,1.1,,7.3,0,9,,,,,
2018-01-25 00:00:00,0.2,-4,4,0,7,,9.9,,1010.2,
2018-01-26 00:00:00,1,-3.1,5.1,0,7,,12.5,,1007.5,
2018-01-27 00:00:00,2.9,-1.8,7.3,0,6,,15.7,,1014.9,
2018-01-28 00:00:00,1.2,-0.6,5.5,0,4,,7.1,,1016.1,
2018-01-29 00:00:00,4.5,-1.9,9.7,0,3,,7.7,,1006.9,
2018-01-30 00:00:00,2.8,1.1,6.6,0,,,8.6,,1014.9,
