date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2010-01-01 00:00:00,5.3,0.2,9.5,0,,,7.3,,1003.5,
2010-01-02 00:00:00,6.4,0.9,11.4,0,,,6.2,,1007.9,
2010-01-03 00:00:00,6,1.4,9.2,0,,,8.4,,1007.7,
2010-01-04 00:00:00,6.3,4,9.3,,,,7.8,,1013.1,
2010-01-05 00:00:00,7.4,3,13.2,2.5,,,12.6,,1003.2,
2010-01-06 00:00:00,6.2,4,10.4,0,,,13.7,,1006.2,
2010-01-07 00:00:00,7.9,1.5,12.1,0,,,11.4,,1005.6,
2010-01-08 00:00:00,7.3,4.9,11.3,0,,,8.4,,1012.4,
2010-01-09 00:00:00,7.2,4.2,11.1,0,,,8.9,,1017,
2010-01-10 00:00:00,7,2.8,11.7,0,,,11.4,,1018.3,
2010-01-11 00:00:00,5,4.5,6.4,0,,,7.7,,1018.8,
2010-01-12 00:00:00,3.9,3.4,5.1,0,,,7.2,,1008.7,
2010-01-13 00:00:00,4.4,3.2,9.2,6.6,,,11.8,,1003,
2010-01-14 00:00:00,3.8,0.4,8,0,,,9.2,,1015.7,
2010-01-15 00:00:00,4.9,-0.3,8.4,0,,,6.4,,1019.6,
2010-01-16 00:00:00,3.7,2.2,6.9,0,,,12.1,,1024.2,
2010-01-17 00:00:00,5.2,1.4,9.2,0,,,8.9,,1026.8,
2010-01-18 00:00:00,5.2,2.1,8.8,0,,,6.8,,1027.2,
2010-01-19 00:00:00,9.7,1.7,13.8,0,,,8.3,,1028.6,
2010-01-20 00:00:00,14.4,4.5,17.3,0,,,8.5,,1021,
2010-01-21 00:00:00,9.6,7.2,18,0,,,16.6,,1004.3,
2010-01-22 00:00:00,6.6,4,10.5,0,,,14.2,,1014,
2010-01-23 00:00:00,6.3,2.6,10.1,0,,,9.1,,1013.5,
2010-01-24 00:00:00,7.1,2,10.8,0,,,8.4,,1019,
2010-01-25 00:00:00,8.8,2.5,14.7,0,,,7.9,,1013.1,
2010-01-26 00:00:00,6.1,4.5,10.5,0,,,17,,1019.9,
2010-01-27 00:00:00,7.2,,,,,,8.1,,1023,
2010-01-28 00:00:00,12.4,5.4,15.5,0,,,11.7,,1009.1,
2010-01-29 00:00:00,7.8,6.9,11,0,,,9.1,,1012.2,
2010-01-30 00:00:00,9.2,4.5,13,0,,,9.7,,1018.1,
2010-01-31 00:00:00,9.4,5.2,12.4,0,,,6.4,,1018.6,
2010-02-01 00:00:00,4.2,0.6,9.4,0,,,9.3,,1012.2,
2010-02-02 00:00:00,4.3,0.6,7.5,33,,,8.1,,1010.7,
2010-02-03 00:00:00,2.7,0.6,6.9,0,,,8.2,,1012.6,
2010-02-04 00:00:00,3.5,-0.4,6.6,0.5,,,7.4,,1016,
2010-02-05 00:00:00,4.8,0.6,9.4,0,,,9.1,,1012,
2010-02-06 00:00:00,3.2,0.1,7.6,0,,,17.3,,1011.8,
2010-02-07 00:00:00,5.6,0.3,9.6,0,,,17.1,,1021,
2010-02-08 00:00:00,7.1,1.9,10,0,,,7,,1023.1,
2010-02-09 00:00:00,13.6,3.7,21,0,,,7.9,,1014.2,
2010-02-10 00:00:00,6.7,5.6,10.1,0,,,10.8,,1014.5,
2010-02-11 00:00:00,3.5,2.1,6,1,,,10.3,,1016.7,
2010-02-12 00:00:00,3.6,,5.2,10.9,,,10.5,,1016.3,
2010-02-13 00:00:00,1.7,1.3,3,0,,,9.3,,1021.9,
2010-02-14 00:00:00,5.8,0.5,7.7,0.5,,,6.7,,1026.4,
2010-02-15 00:00:00,5.1,4.5,6.4,0,,,8.8,,1018.9,
2010-02-16 00:00:00,3.1,2,5,17,,,11,,1016.4,
2010-02-17 00:00:00,3.1,1.6,5,0.5,,,9.7,,1023.8,
2010-02-18 00:00:00,3.8,0.5,6.3,2,,,8.5,,1016.1,
2010-02-19 00:00:00,6,1.4,9.1,0,,,7.2,,1013.3,
2010-02-20 00:00:00,7.2,3,11.2,0,,,7.9,,1015.7,
2010-02-21 00:00:00,6.1,4,9.3,0,,,11.9,,1022.6,
2010-02-22 00:00:00,6.7,4.4,10.1,0,,,6.4,,1022.7,
2010-02-23 00:00:00,10.9,4.2,14.7,0,,,5.9,,1018.2,
2010-02-24 00:00:00,12.4,8,16.6,0,,,7.3,,1021.6,
2010-02-25 00:00:00,16,8.7,18.3,0,,,11.4,,1022,
2010-02-26 00:00:00,15.8,15.5,18.7,0,,,22.8,,1014,
2010-02-27 00:00:00,8.6,7.8,13.8,32.5,,,10,,1010.7,
2010-02-28 00:00:00,6.5,3.1,8.4,10.4,,,10,,1015.1,
2010-03-01 00:00:00,8.4,6.4,14.7,6.6,,,7.9,,1015.5,
2010-03-02 00:00:00,5.1,4,6.5,1.5,,,12.7,,1014.2,
2010-03-03 00:00:00,9.1,3.9,13.5,0,,,8.1,,1017.4,
2010-03-04 00:00:00,7.5,5.8,10.6,0,,,8.2,,1026.2,
2010-03-05 00:00:00,14.5,5.4,18.2,10.4,,,8.4,,1013,
2010-03-06 00:00:00,9.9,9.3,12.8,0.5,,,7.8,,1015.2,
2010-03-07 00:00:00,4.7,3.9,7.1,7.6,,,13.5,,1021.8,
2010-03-08 00:00:00,5.8,3.3,8.4,4.6,,,10.7,,1027.4,
2010-03-09 00:00:00,3.1,1.1,5.6,0,,,11.4,,1023.4,
2010-03-10 00:00:00,6.1,1.1,11.2,31,,,11.3,,1001,
2010-03-11 00:00:00,8.7,3.9,12.6,0,,,13.1,,1017,
2010-03-12 00:00:00,10,4.5,14.9,,,,12.5,,1025.9,
2010-03-13 00:00:00,14.3,10.1,21.4,0,,,18.1,,1018.1,
2010-03-14 00:00:00,10.7,7.7,14.2,0,,,10.1,,1027.1,
2010-03-15 00:00:00,15.4,7.8,17.9,0,,,10.6,,1022,
2010-03-16 00:00:00,13.6,10.9,21.6,31.5,,,10.4,,1003,
2010-03-17 00:00:00,9.7,7.4,12.8,0,,,14.9,,1017.6,
2010-03-18 00:00:00,8.8,6.4,13.1,0,,,10.8,,1015.7,
2010-03-19 00:00:00,9.7,4.8,12,0,,,10.5,,1013.8,
