date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01 00:00:00,9.5,3.5,15.4,,,,10.4,,1005.7,
2014-01-02 00:00:00,7.4,3.4,11.6,,,,10.2,,1011.6,
2014-01-03 00:00:00,6,4.1,8.4,,,,6.2,,1016,
2014-01-04 00:00:00,6.5,2.6,11.5,,,,8.3,,1010.2,
2014-01-05 00:00:00,5.5,4,7,,,,12.6,,1016.9,
2014-01-06 00:00:00,5.3,2.4,9.9,,,,13.3,,1021.9,
2014-01-07 00:00:00,5.4,1.9,9.6,,,,7.3,,1026.2,
2014-01-08 00:00:00,7.2,4,12,,,,7.1,,1015.9,
2014-01-09 00:00:00,7.3,,,,,,14.8,,1007.3,
2014-01-10 00:00:00,3.7,1.5,6.6,,,,15.7,,1020.2,
2014-01-11 00:00:00,4.2,0.9,8.1,,,,6.3,,1024.2,
2014-01-12 00:00:00,5.3,1.5,9.1,,,,6.9,,1019.1,
2014-01-13 00:00:00,5.1,,,,,,12.4,,1019.8,
2014-01-14 00:00:00,4.2,1.8,7.2,,,,13,,1026.6,
2014-01-15 00:00:00,3,,,,,,8.3,,1026.1,
2014-01-16 00:00:00,4.6,0.7,8.6,,,,7.4,,1022.8,
2014-01-17 00:00:00,5.8,3.1,9.2,,,,9.5,,1019.3,
2014-01-18 00:00:00,5.1,3.1,7.8,,,,7.6,,1016.3,
2014-01-19 00:00:00,4.3,2.1,6.7,,,,15.6,,1017.6,
2014-01-20 00:00:00,4.8,,,,,,6.7,,1019.3,
2014-01-21 00:00:00,6.3,2,11.5,,,,6.8,,1011.1,
2014-01-22 00:00:00,5.5,,,,,,8.2,,1017.4,
2014-01-23 00:00:00,6.4,3.1,10.4,,,,9.6,,1022.2,
2014-01-24 00:00:00,7.1,2.5,12.4,,,,7.2,,1022.7,
2014-01-25 00:00:00,8.1,3.3,11.6,,,,4.4,,1017.2,
2014-01-26 00:00:00,6.3,3.3,14.5,0,,,18.2,,1010.2,
2014-01-27 00:00:00,4.5,1.6,7.3,,,,12.4,,1023.1,
2014-01-28 00:00:00,8.6,1.7,14.8,,,,10.4,,1017.2,
2014-01-29 00:00:00,8.9,5.3,12.1,,,,11.7,,1021.7,
2014-01-30 00:00:00,10.2,,,,,,9.3,,1015.5,
2014-01-31 00:00:00,10,6.5,14.7,,,,10.8,,1013.8,
2014-02-01 00:00:00,7.8,4.3,12.2,,,,6.4,,1021.5,
2014-02-02 00:00:00,9.2,6.3,13,,,,5.1,,1011.3,
