date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2012-01-01 00:00:00,5.7,2.9,9.2,0,,,6.7,,1019.9,
2012-01-02 00:00:00,6.3,3,10.9,0,,,10,,1009.6,
2012-01-03 00:00:00,6.2,3.9,10.4,0,,,11.5,,1012.5,
2012-01-04 00:00:00,5.3,2,9.4,0,,,10.2,,1006.1,
2012-01-05 00:00:00,5.7,1.9,9.7,0,,,11.9,,1014.8,
2012-01-06 00:00:00,6.6,2.9,9.8,0,,,9.9,,1020.4,
2012-01-07 00:00:00,5.3,3.9,9.1,0,,,13,,1024.2,
2012-01-08 00:00:00,5.7,2.6,9.6,0,,,10.4,,1027,
2012-01-09 00:00:00,6,3,9.4,0,,,6.2,,1021.6,
2012-01-10 00:00:00,7.2,2.5,9.8,0,,,6.6,,1020.3,
2012-01-11 00:00:00,4.6,2.4,11.1,0,,,10.7,,1013.5,
2012-01-12 00:00:00,3.8,0.9,7.2,0,,,13.5,,1021.9,
2012-01-13 00:00:00,6.4,0,11,0,,,7.4,,1013.9,
2012-01-14 00:00:00,4.8,2.8,8.9,0,,,8.5,,1014.1,
2012-01-15 00:00:00,4.8,2.3,6.5,0,,,7.5,,1014.9,
2012-01-16 00:00:00,4.3,3.1,5.6,0,,,8.8,,1017.4,
2012-01-17 00:00:00,4.6,2.8,7.9,0,,,9.5,,1019.2,
2012-01-18 00:00:00,5.7,1.5,9.1,0,,,6.7,,1023.3,
2012-01-19 00:00:00,5.9,2.5,10.2,0,,,9.9,,1024,
2012-01-20 00:00:00,3,1.9,3.6,4.6,,,14.1,,1021.4,
2012-01-21 00:00:00,3.4,3,3.6,,,,15.2,,1019.2,
2012-01-22 00:00:00,5.4,3.1,8,17.5,,,9.4,,1011.8,
2012-01-23 00:00:00,3.9,0.7,8.2,0.5,,,6.5,,1008.5,
2012-01-24 00:00:00,2.8,0.9,5,23.1,,,10.1,,1013.4,
2012-01-25 00:00:00,4.3,-0.1,9.3,0,,,8.7,,1010.1,
2012-01-26 00:00:00,2.8,0.9,6.4,0,,,9.9,,1015.8,
2012-01-27 00:00:00,3.6,-1,8,0,,,8.1,,1018,
2012-01-28 00:00:00,2.7,-0.1,6.1,0,,,10.6,,1019.3,
2012-01-29 00:00:00,3,1,6.8,0,,,16.4,,1018.7,
2012-01-30 00:00:00,3.6,1.4,6.4,0,,,11.2,,1018.3,
2012-01-31 00:00:00,4.4,0.2,8.1,0,,,9.1,,1017.9,
2012-02-01 00:00:00,5.7,0.1,12.4,0,,,15.7,,1008.3,
2012-02-02 00:00:00,2.1,0.8,6,0,,,17.1,,1008.8,
2012-02-03 00:00:00,3.1,-1,6.7,0,,,7.7,,1017.6,
2012-02-04 00:00:00,6.5,-1,10.8,0,,,6.8,,1016.7,
2012-02-05 00:00:00,6.3,2.6,9,0,,,8.8,,1023.4,
2012-02-06 00:00:00,4.9,4,5.8,,,,8.1,,1020.2,
2012-02-07 00:00:00,8.4,5,10,25.9,,,7,,1000.3,
2012-02-08 00:00:00,4.8,4.4,8.1,6.6,,,11.3,,1004.2,
2012-02-09 00:00:00,4.9,0.4,8.1,0,,,8.8,,1014.6,
2012-02-10 00:00:00,5.6,2.4,9.4,0,,,7,,1016.5,
2012-02-11 00:00:00,5.3,1.1,9.1,0,,,8.3,,1018.7,
2012-02-12 00:00:00,5,1.2,9.5,0,,,11.8,,1023,
2012-02-13 00:00:00,6.6,1.8,9.2,0,,,7,,1026.1,
2012-02-14 00:00:00,5.2,3.7,6.1,0,,,9.7,,1019.1,
2012-02-15 00:00:00,7.1,5,12.7,3.6,,,9.2,,1012.1,
2012-02-16 00:00:00,2.7,2.1,4.5,0,,,9.4,,1014,
2012-02-17 00:00:00,3.4,1.3,8.8,1,,,8.8,,1009.5,
2012-02-18 00:00:00,2.1,0.4,6.4,2.5,,,15.3,,1013.7,
2012-02-19 00:00:00,3.9,-0.6,7.6,0,,,7.9,,1021.1,
2012-02-20 00:00:00,6.4,0.7,10.4,0,,,9.1,,1023.7,
2012-02-21 00:00:00,9,2.9,12.6,0,,,7.3,,1019.9,
2012-02-22 00:00:00,7.6,6,9.8,0,,,9.3,,1022.7,
2012-02-23 00:00:00,7.7,5.3,11.4,,,,9.6,,1006.5,
2012-02-24 00:00:00,10.5,8.5,15.4,10.9,,,15.8,,1012.5,
2012-02-25 00:00:00,5.3,3.8,6.8,15.5,,,10.4,,1009.8,
2012-02-26 00:00:00,5.4,4.3,9.2,3.6,,,10.3,,1012.1,
2012-02-27 00:00:00,3.8,,9.2,0,,,18.1,,1018.6,
2012-02-28 00:00:00,4.1,0.3,6.9,0,,,8.5,,1027.5,
2012-02-29 00:00:00,2.3,0.8,5.2,,,,12.3,,1025.2,
2012-03-01 00:00:00,10.1,3.3,12.4,9.9,,,8.8,,1019.5,
2012-03-02 00:00:00,5.6,4.5,9,0,,,8.3,,1015.6,
2012-03-03 00:00:00,7.4,3.8,11.6,10.4,,,10.9,,1020.5,
2012-03-04 00:00:00,4.7,4.1,6.6,0,,,9.1,,1029.4,
2012-03-05 00:00:00,5.4,2.5,9.7,,,,10.2,,1016.7,
2012-03-06 00:00:00,12.3,8,15.1,27.9,,,7.2,,1004,
2012-03-07 00:00:00,11.7,11.4,15.7,0,,,8.2,,1010.8,
2012-03-08 00:00:00,9.3,8.1,11,0,,,10.2,,1016.8,
2012-03-09 00:00:00,5.8,5.4,8.3,5.6,,,9.8,,1016.2,
2012-03-10 00:00:00,5.6,2,7.6,39.6,,,12.2,,1013.1,
2012-03-11 00:00:00,7.3,4.1,11.1,1,,,10.2,,1010.1,
2012-03-12 00:00:00,7.1,2.9,12.6,0,,,13.1,,1009.4,
2012-03-13 00:00:00,6.8,3.4,10.7,0,,,14.8,,1019.6,
2012-03-14 00:00:00,7.5,3.2,10.4,0,,,8.2,,1023.3,
2012-03-15 00:00:00,7.4,3.6,13.6,0,,,15.2,,1020.9,
2012-03-16 00:00:00,8.6,3.3,11.1,0,,,11.6,,1026.8,
2012-03-17 00:00:00,6.8,4.8,10.1,,,,6.8,,1015.8,
2012-03-18 00:00:00,9.9,6.5,11.8,19.1,,,6,,1005.6,
2012-03-19 00:00:00,7.9,7.1,12.2,1,,,14.1,,1009.8,
2012-03-20 00:00:00,8.4,4.2,12.1,0,,,9.4,,1011.4,
2012-03-21 00:00:00,7.8,5,11.6,0,,,18.4,,1015.2,
2012-03-22 00:00:00,12,4.2,14.8,0,,,5.8,,1016.1,
2012-03-23 00:00:00,8.7,8.1,12.2,0,,,6.5,,1012.2,
2012-03-24 00:00:00,8.1,6.1,11.6,12.4,,,7.1,,996.5,
2012-03-25 00:00:00,8.8,5.4,13.8,2,,,7.6,,1004.7,
2012-03-26 00:00:00,8.3,4.6,12.1,0,,,10.8,,1014.1,
2012-03-27 00:00:00,10.3,4.4,14,0,,,12.3,,1020.4,
2012-03-28 00:00:00,11.2,5.9,17.1,0,,,11.9,,1018.1,
2012-03-29 00:00:00,13.1,7,16.3,0,,,,,,
2012-03-30 00:00:00,16.6,11.6,19.4,0,,,,,,
2012-03-31 00:00:00,11,8.8,18.9,0,,,26.3,,1005.2,
2012-04-01 00:00:00,10.1,5.8,14.7,7.9,,,13,,1014.8,
2012-04-02 00:00:00,12.3,6.6,14.9,0,,,11.9,,1024.3,
2012-04-03 00:00:00,13.7,10,17.7,0,,,22.8,,1006.1,
2012-04-04 00:00:00,12.4,8.9,15.2,21.6,,,12.4,,1002.1,
