date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01 00:00:00,4,1.3,7.8,,,,14.4,,1002.8,
2015-01-02 00:00:00,2.7,-1.8,7,,,,7.6,,1010.4,
2015-01-03 00:00:00,3.7,-0.7,8.5,,,,11,,1014.8,
2015-01-04 00:00:00,3.9,0.6,8.6,,,,4.7,,1013.6,
2015-01-05 00:00:00,6.7,1.6,12.2,,,,8,,1017.4,
2015-01-06 00:00:00,10.9,6.5,14.9,,,,18.2,,1004.2,
2015-01-07 00:00:00,5.7,3.6,9.8,,,,15.5,,1003.1,
2015-01-08 00:00:00,6.1,2.6,10.6,,,,15.3,,1009,
2015-01-09 00:00:00,6.7,4.4,10.7,,,,15.2,,1011.2,
2015-01-10 00:00:00,6.3,2.5,10.8,,,,12.6,,1011.7,
2015-01-11 00:00:00,6.3,0.8,10.4,,,,10,,1011.7,
2015-01-12 00:00:00,5.2,2.6,8.7,,,,16.9,,1018.8,
2015-01-13 00:00:00,6.5,2.9,11.2,,,,11.9,,1027.7,
2015-01-14 00:00:00,6.4,1.8,10.4,,,,6.1,,1027.2,
2015-01-15 00:00:00,5.5,3.5,7.9,,,,11.6,,1013.3,
2015-01-16 00:00:00,8.8,5.1,12.9,,,,9.6,,1012.6,
2015-01-17 00:00:00,6.1,2.4,11,,,,15.4,,1007.5,
2015-01-18 00:00:00,4.7,0.4,10.5,,,,11.6,,1017.6,
2015-01-19 00:00:00,5.7,-0.4,11.6,,,,8.2,,1011.8,
2015-01-20 00:00:00,6.3,3.6,11,,,,13.4,,1021.4,
2015-01-21 00:00:00,2.5,1.8,3.2,,,,10.8,,1027.7,
2015-01-22 00:00:00,4.5,3.2,5.4,,,,8.3,,1012.9,
2015-01-23 00:00:00,6.9,4,12.7,,,,15,,1006.5,
2015-01-24 00:00:00,5,2.9,7.6,,,,9.1,,1021,
2015-01-25 00:00:00,6.8,1.4,11.9,,,,8,,1027.1,
2015-01-26 00:00:00,9,5.9,12,,,,7.4,,1022.6,
2015-01-27 00:00:00,9.9,5.9,15.4,,,,10.6,,1010.1,
2015-01-28 00:00:00,5.4,2.1,9.3,,,,14.8,,1017.2,
2015-01-29 00:00:00,3.7,-0.2,7,,,,9.8,,1026.4,
2015-01-30 00:00:00,2.2,0.5,4.4,,,,11.7,,1017.7,
2015-01-31 00:00:00,5,1.2,10.1,,,,15.3,,1011.4,
2015-02-01 00:00:00,4,1,8.3,,,,20.1,,1019.3,
2015-02-02 00:00:00,4.7,1.7,9,,,,17.1,,1021.8,
2015-02-03 00:00:00,4.7,0.9,9.1,,,,9.2,,1022.3,
2015-02-04 00:00:00,5.1,1.9,8.7,,,,7.7,,1020.3,
2015-02-05 00:00:00,2.7,1.3,5,,,,9.1,,1014.3,
2015-02-06 00:00:00,5.3,0.1,11.5,,,,9.9,,1016,
2015-02-07 00:00:00,5.3,2.2,8.9,,,,8.7,,1022.4,
2015-02-08 00:00:00,4.1,2.5,6.4,,,,7.4,,1011,
2015-02-09 00:00:00,2.2,0.9,4.6,,,,11.6,,1010.1,
2015-02-10 00:00:00,3.1,-1.7,7.9,,,,7.9,,1011.2,
2015-02-11 00:00:00,5.5,0.6,10,,,,6.8,,1012.2,
2015-02-12 00:00:00,7,2.1,12,,,,6.1,,1004.9,
2015-02-13 00:00:00,5.1,1.6,10.6,,,,13.7,,1003.2,
2015-02-14 00:00:00,4.9,-1.1,10.3,,,,12.7,,1011.9,
2015-02-15 00:00:00,5.5,0.9,11.3,,,,17,,1012.8,
2015-02-16 00:00:00,6.9,1.9,12.7,,,,10.5,,1014.1,
2015-02-17 00:00:00,4,1.4,5.2,,,,8.5,,1013.5,
2015-02-18 00:00:00,3.3,2.7,4.1,,,,11.7,,1008.7,
2015-02-19 00:00:00,6.2,1.8,12.4,,,,8.9,,1010.9,
2015-02-20 00:00:00,6.3,2.8,11.7,,,,8.8,,1020.8,
2015-02-21 00:00:00,6.1,2.1,9.6,,,,8.5,,1028,
2015-02-22 00:00:00,6.3,4.6,7.8,,,,5.9,,1023.6,
2015-02-23 00:00:00,10.6,6.4,18.3,,,,7.9,,1010.9,
2015-02-24 00:00:00,9.7,7.5,12,,,,7.2,,1013,
2015-02-25 00:00:00,9.2,7.6,12.6,,,,10.1,,1018.8,
2015-02-26 00:00:00,6.7,5.9,7.8,,,,9,,1018.1,
2015-02-27 00:00:00,8.1,4.4,14.2,,,,12.6,,1008.6,
2015-02-28 00:00:00,7.2,3,11.3,,,,13.5,,1023.8,
2015-03-01 00:00:00,6.8,5.5,8.7,,,,11.2,,1014.3,
2015-03-02 00:00:00,9.4,6,13.3,,,,14.9,,1010.3,
2015-03-03 00:00:00,5.7,4.1,7.2,,,,8.3,,1019.5,
2015-03-04 00:00:00,9.4,3.2,15.8,,,,9.2,,1005,
2015-03-05 00:00:00,9.5,5.8,13.3,,,,14,,1015,
2015-03-06 00:00:00,7.3,5.1,10.9,,,,9.8,,1024.1,
2015-03-07 00:00:00,5.9,,,,,,9.2,,1024.1,
2015-03-08 00:00:00,,,,,,,,,,
2015-03-09 00:00:00,9,8.5,9.5,,,,10.9,,1014.7,
2015-03-10 00:00:00,8,2.5,12.3,,,,16,,997.9,
