date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,5.4,3.5,10.2,0,,,9.4,,1021,
2020-01-02 00:00:00,5.8,1.9,11.3,0,,,6.5,,1021,
2020-01-03 00:00:00,6.8,1.4,12,0,,,5,,1016.5,
2020-01-04 00:00:00,6.3,4.3,12.2,0,,,8,,1013.9,
2020-01-05 00:00:00,6.2,0.6,10.2,1,,,10.9,,1020.8,
2020-01-06 00:00:00,7.8,3.1,12.2,0,,,11.5,,1025.4,
2020-01-07 00:00:00,5.3,4.2,8.2,0,,,7.3,,1025,
2020-01-08 00:00:00,5.1,3.9,7.3,,,,7.5,,1004.4,
2020-01-09 00:00:00,10,4.6,14.9,10.9,,,14.1,,1008.2,
2020-01-10 00:00:00,8,5.5,12.6,0,,,8.9,,1015.5,
2020-01-11 00:00:00,6.6,5.5,10.5,0,,,6,,1015.4,
2020-01-12 00:00:00,7.5,2.5,10.2,0,,,5.3,,1011.2,
2020-01-13 00:00:00,8.8,4.6,13.7,0,,,6.2,,1011.1,
2020-01-14 00:00:00,8.8,4.7,13.5,0,,,6.4,,1019.2,
2020-01-15 00:00:00,6.1,5.9,8.4,9.4,,,8.9,,1016.3,
2020-01-16 00:00:00,6.8,3.9,10.9,5.6,,,8.3,,1021,
2020-01-17 00:00:00,7.7,4.1,11.1,0,,,9,,1019.1,
2020-01-18 00:00:00,3.9,1.9,7.1,,,,11.5,,1013.6,
2020-01-19 00:00:00,6.5,1.9,11.1,7.1,,,8.2,,1014.4,
2020-01-20 00:00:00,8.3,2,14.1,0,,,6.7,,1012.1,
2020-01-21 00:00:00,6.6,4.2,11.8,0,,,13.3,,1019.5,
2020-01-22 00:00:00,5.4,2,7.3,0,,,6.7,,1028.3,
2020-01-23 00:00:00,6,4.2,8.3,,,,6.4,,1021.5,
2020-01-24 00:00:00,9.4,7.6,13.4,2,,,6,,1021.7,
2020-01-25 00:00:00,7.3,5.9,10.2,0,,,9.4,,1027.4,
2020-01-26 00:00:00,4.9,2.7,7.3,6.1,,,5.1,,1026.8,
2020-01-27 00:00:00,4.1,3.2,6.5,0,,,7.1,,1025.9,
2020-01-28 00:00:00,4.2,0.6,7,,,,12.6,,1018.1,
2020-01-29 00:00:00,12,6.8,18.6,71.4,,,8.8,,1002.2,
2020-01-30 00:00:00,11.5,6.8,17.5,0,,,7.4,,998.5,
2020-01-31 00:00:00,6.9,4.7,12.1,0,,,17.6,,1004.1,
2020-02-01 00:00:00,8.2,3,13.4,0,,,12.5,,1014.3,
2020-02-02 00:00:00,8.8,5,13.8,0,,,10.3,,1021.1,
2020-02-03 00:00:00,9.3,5.4,15.2,0,,,8.3,,1017.5,
2020-02-04 00:00:00,7.4,4.9,11.4,0,,,8.5,,1019.4,
2020-02-05 00:00:00,7.3,2.9,15.2,0,,,10.8,,1012.5,
2020-02-06 00:00:00,1.7,-0.1,6.9,0,,,17.8,,1022.2,
2020-02-07 00:00:00,3.5,-2.1,6.9,0,,,6.8,,1026.3,
2020-02-08 00:00:00,6.3,0.7,12.7,0,,,9.4,,1013.8,
2020-02-09 00:00:00,3.6,1.4,8.3,0,,,14,,1016,
2020-02-10 00:00:00,5.1,-0.2,10.1,0,,,7.8,,1014.8,
2020-02-11 00:00:00,6.3,1.1,11.7,0,,,9.4,,1025.2,
2020-02-12 00:00:00,10.7,1.9,16,0,,,6.9,,1025.5,
2020-02-13 00:00:00,12,8.5,18.2,,,,6,,1014.9,
2020-02-14 00:00:00,11.9,8.7,16,0,,,5.9,,1018.2,
2020-02-15 00:00:00,12.3,7.6,16.2,0,,,6.3,,1020,
2020-02-16 00:00:00,9.4,7.8,10,,,,6.2,,1009.7,
2020-02-17 00:00:00,8.9,6.7,16.8,2,,,7.8,,1000.4,
2020-02-18 00:00:00,7.5,2.8,12.5,0,,,10.8,,1010.5,
2020-02-19 00:00:00,8.6,3.6,13.3,0,,,10.1,,1024.4,
2020-02-20 00:00:00,9.3,4.7,13.1,0,,,8,,1028.5,
2020-02-21 00:00:00,10.3,5.4,14.2,0,,,10.2,,1033.6,
2020-02-22 00:00:00,12.7,6.5,18.2,1,,,15.7,,1020.4,
2020-02-23 00:00:00,9.6,5.9,16,1.5,,,11.4,,1015.5,
2020-02-24 00:00:00,10.4,4.6,15.4,0,,,9.1,,1021.3,
2020-02-25 00:00:00,10.6,6.2,14.4,0,,,7.7,,1019.4,
2020-02-26 00:00:00,7.3,7.3,9.4,3,,,8.4,,1014.6,
2020-02-27 00:00:00,6.2,4.3,11.9,0,,,14.7,,1017.6,
2020-02-28 00:00:00,8,1.9,12.4,0,,,9.7,,1022.8,
2020-02-29 00:00:00,9.9,5.4,14.4,0,,,8.1,,1018.2,
2020-03-01 00:00:00,12.1,6.6,17.9,1.5,,,9,,1015.6,
